SOIL_LANDSCAPE_ID,ERI_1981_VAL,ERI_1981_CLASS,ERI_1981_CLASS_EN,ERI_1981_CLASS_FR,ERI_1986_VAL,ERI_1986_CLASS,ERI_1986_CLASS_EN,ERI_1986_CLASS_FR,ERI_1991_VAL,ERI_1991_CLASS,ERI_1991_CLASS_EN,ERI_1991_CLASS_FR,ERI_1996_VAL,ERI_1996_CLASS,ERI_1996_CLASS_EN,ERI_1996_CLASS_FR,ERI_2001_VAL,ERI_2001_CLASS,ERI_2001_CLASS_EN,ERI_2001_CLASS_FR,ERI_2006_VAL,ERI_2006_CLASS,ERI_2006_CLASS_EN,ERI_2006_CLASS_FR,ERI_2011_VAL,ERI_2011_CLASS,ERI_2011_CLASS_EN,ERI_2011_CLASS_FR,ERI_2016_VAL,ERI_2016_CLASS,ERI_2016_CLASS_EN,ERI_2016_CLASS_FR,ERI_2021_VAL,ERI_2021_CLASS,ERI_2021_CLASS_EN,ERI_2021_CLASS_FR,ERI_81_21_CHG_VAL,ERI_81_21_CHG_CLASS,ERI_81_21_CHG_CLASS_EN,ERI_81_21_CHG_CLASS_FR
771001,29.5,4,High,Élevé,26.41,4,High,Élevé,26.11,4,High,Élevé,22.86,4,High,Élevé,18.293,3,Moderate,Moyen,13.345,3,Moderate,Moyen,9.682,2,Low,Faible,8.217,2,Low,Faible,8.509,2,Low,Faible,-20.991,-2,Large Decrease,Grande diminuation
771002,14.508,3,Moderate,Moyen,12.857,3,Moderate,Moyen,12.043,3,Moderate,Moyen,10.504,2,Low,Faible,9.209,2,Low,Faible,6.648,2,Low,Faible,4.714,1,Very Low,Très faible,3.83,1,Very Low,Très faible,3.785,1,Very Low,Très faible,-10.723,-2,Large Decrease,Grande diminuation
771003,18.057,3,Moderate,Moyen,16.499,3,Moderate,Moyen,15.996,3,Moderate,Moyen,13.755,3,Moderate,Moyen,11.505,3,Moderate,Moyen,8.233,2,Low,Faible,5.778,1,Very Low,Très faible,4.771,1,Very Low,Très faible,5.034,1,Very Low,Très faible,-13.023,-2,Large Decrease,Grande diminuation
771004,9.998,2,Low,Faible,8.896,2,Low,Faible,8.126,2,Low,Faible,7.223,2,Low,Faible,6.213,2,Low,Faible,4.553,1,Very Low,Très faible,3.257,1,Very Low,Très faible,2.643,1,Very Low,Très faible,2.694,1,Very Low,Très faible,-7.304,-2,Large Decrease,Grande diminuation
771005,30.956,4,High,Élevé,28.213,4,High,Élevé,26.185,4,High,Élevé,23.417,4,High,Élevé,20.359,3,Moderate,Moyen,14.838,3,Moderate,Moyen,10.781,2,Low,Faible,8.389,2,Low,Faible,8.491,2,Low,Faible,-22.465,-2,Large Decrease,Grande diminuation
771006,12.482,3,Moderate,Moyen,11.473,3,Moderate,Moyen,11.755,3,Moderate,Moyen,8.445,2,Low,Faible,7.511,2,Low,Faible,6.042,2,Low,Faible,3.809,1,Very Low,Très faible,4.039,1,Very Low,Très faible,4.213,1,Very Low,Très faible,-8.269,-2,Large Decrease,Grande diminuation
771007,9.451,2,Low,Faible,8.648,2,Low,Faible,8.067,2,Low,Faible,7.236,2,Low,Faible,6.279,2,Low,Faible,4.599,1,Very Low,Très faible,3.369,1,Very Low,Très faible,2.736,1,Very Low,Très faible,2.692,1,Very Low,Très faible,-6.759,-2,Large Decrease,Grande diminuation
771008,16.689,3,Moderate,Moyen,15.372,3,Moderate,Moyen,14.495,3,Moderate,Moyen,11.895,3,Moderate,Moyen,10.693,2,Low,Faible,8.218,2,Low,Faible,5.413,1,Very Low,Très faible,4.502,1,Very Low,Très faible,4.681,1,Very Low,Très faible,-12.008,-2,Large Decrease,Grande diminuation
772001,6.831,2,Low,Faible,6.621,2,Low,Faible,6.586,2,Low,Faible,5.288,1,Very Low,Très faible,3.734,1,Very Low,Très faible,3.444,1,Very Low,Très faible,2.602,1,Very Low,Très faible,2.923,1,Very Low,Très faible,2.602,1,Very Low,Très faible,-4.229,-1,Decrease,Diminuation
772002,6.166,2,Low,Faible,5.857,1,Very Low,Très faible,5.886,1,Very Low,Très faible,4.683,1,Very Low,Très faible,3.931,1,Very Low,Très faible,3.011,1,Very Low,Très faible,2.625,1,Very Low,Très faible,3.087,1,Very Low,Très faible,2.892,1,Very Low,Très faible,-3.274,-1,Decrease,Diminuation
