Erosion_Value1N,Erosion_Value2N,Erosion_Value3N,Erosion_Value4N
0.024989843,0.07117148,0.054546032,0.02318659
-0.0052066743,0.06950806,0.017758522,0.010846462
0.021273196,0.070951685,0.050042484,0.021646943
-0.0038900375,0.069569424,0.019380722,0.011369135
-0.005815655,0.06947704,0.01701251,0.010601129
0.26082563,0.08088751,0.34716853,0.11503565
-0.0041230917,0.06956072,0.01909009,0.011279549
-0.005227506,0.069507286,0.017732475,0.010838445
-0.0032837987,0.06959279,0.020135436,0.011602994
0.07025093,0.07376899,0.109517306,0.04182702
-0.0031948686,0.06960718,0.02022842,0.011652406
-0.0051120818,0.06951134,0.017876957,0.010882493
0.37505,0.060659006,0.5294504,0.1250847
0.23213327,0.080850706,0.3097104,0.10544419
-0.0051083863,0.06951235,0.017880056,0.010885116
0.27729225,0.08078961,0.36885896,0.12037563
0.0032780766,0.069961086,0.028118644,0.014293965
0.13136375,0.07713319,0.18397292,0.06679839
0.17714298,0.07926537,0.2403763,0.08496791
0.12541568,0.077238634,0.17602444,0.06496632
0.1414594,0.07762234,0.19638085,0.07083142
-0.006823063,0.06943436,0.015764508,0.010207143
-0.005915642,0.06947549,0.01688436,0.010565665
-0.0059283376,0.06947525,0.016868148,0.010561194
0.06516701,0.07350613,0.10329577,0.03977328
-0.0045627356,0.06953506,0.018556807,0.011097904
0.31294733,0.07940911,0.4177199,0.13032287
0.10982442,0.07626225,0.15722057,0.058432337
-0.005481988,0.06949453,0.017420564,0.010736223
0.3713053,0.06269385,0.5211728,0.12663001
0.0019067526,0.06988619,0.026446912,0.013734546
0.027890086,0.07136251,0.058028672,0.024415042
0.016776264,0.070721164,0.044536207,0.019832995
0.36626375,0.06605585,0.5091027,0.12959492
-0.006878197,0.069432154,0.015695963,0.010185774
-0.0050453544,0.06951176,0.017963443,0.010905262
-0.005151272,0.06950463,0.017836545,0.010860201
-0.005654365,0.069477394,0.017222796,0.010655221
-0.0016624928,0.06969373,0.02209184,0.012281593
-0.0061807036,0.06946276,0.016558383,0.010460045
-0.006224185,0.069460675,0.016504858,0.010442611
-0.0050129294,0.06951164,0.01800606,0.010915842
-0.005956173,0.06947197,0.016836975,0.010547396
0.00024318695,0.06977989,0.024444018,0.01303434
-0.006961882,0.06942807,0.015593145,0.010152277
-0.0058274567,0.06947769,0.01699606,0.01059809
-0.0017416179,0.06968419,0.022003803,0.012242075
-0.0033602715,0.06958629,0.02004603,0.011568543
-0.004606664,0.069531426,0.01850525,0.011078175
-0.005432099,0.069492295,0.017489348,0.010749694
0.08078897,0.07440545,0.12226483,0.04621091
-0.003213346,0.069599584,0.020216558,0.011635806
-0.005798608,0.06947817,0.017033074,0.010608312
-0.0036776662,0.069572315,0.019653771,0.011443671
0.012280315,0.07044096,0.039111648,0.01795071
-0.006338656,0.069453046,0.016367648,0.010394033
-0.0068433285,0.069433376,0.015739534,0.010199007
0.24759018,0.081292346,0.32920566,0.11119425
-0.0058176816,0.069475874,0.017011736,0.010598775
0.3405307,0.07547201,0.4601726,0.13405234
-0.004646659,0.06953092,0.01845387,0.011064198
0.087682575,0.07484396,0.13056776,0.049109366
-0.006489575,0.06944789,0.016178641,0.010336723
0.0003566146,0.06979482,0.024567995,0.013092753
-0.00579378,0.069478944,0.01703808,0.010610934
0.010444701,0.07033594,0.03688172,0.017195132
-0.0037092566,0.06957434,0.019609068,0.011435982
-0.0056842864,0.06948377,0.017173443,0.0106540285
-0.0055784285,0.06948699,0.0173066,0.010693785
-0.006447971,0.06944992,0.016229663,0.0103534125
0.2822941,0.080775335,0.3754225,0.12201905
0.008561313,0.070245996,0.034564886,0.01644456
0.2055487,0.08012907,0.27611887,0.09560716
-0.0011278987,0.0697047,0.02277318,0.012474503
-0.0064876676,0.06944756,0.016181681,0.010336842
0.12038788,0.07660706,0.17047414,0.062421437
0.288238,0.08048679,0.3836626,0.12359649
0.37196708,0.06258227,0.5222214,0.12669641
0.29179543,0.08063479,0.38807434,0.124984026
0.0019003749,0.06988792,0.026435707,0.013734754
0.02837205,0.071299836,0.058760438,0.024488624
-0.005561918,0.06949009,0.01732323,0.010703441
0.17437619,0.07940827,0.23652676,0.08424544
0.046178967,0.07237317,0.080304235,0.03189337
-0.0015439987,0.069697425,0.022240791,0.012326058
0.14766991,0.077939555,0.20398733,0.07333499
0.00056415796,0.06979628,0.02483711,0.013163742
0.00025239587,0.06979047,0.024438892,0.013052102
-0.0066689253,0.06944002,0.015956853,0.010266181
0.01980251,0.07088612,0.048225734,0.021067288
0.028630555,0.07147585,0.05881313,0.02481794
-0.0002927482,0.069748774,0.02379373,0.012813117
-0.004506588,0.0695384,0.018624816,0.01112121
-0.0045036077,0.0695384,0.01862875,0.011122163
0.12858212,0.07709004,0.18040591,0.06581378
-0.002396047,0.06963946,0.021220598,0.0119626485
0.00034821033,0.06977831,0.02458385,0.013067033
-0.0022568405,0.0696436,0.021395955,0.012014594
-0.0067005157,0.06943904,0.015917215,0.010254379
-0.005941868,0.06947215,0.016855512,0.010552403
-0.00677526,0.069436476,0.015823577,0.010225948
0.124605715,0.077016786,0.17532495,0.06439036
-0.0062288046,0.06945844,0.016502414,0.010438021
0.002248913,0.06989609,0.026878271,0.013861921
-0.00672701,0.06943835,0.015883598,0.010244604
0.002747357,0.06991334,0.027502093,0.014051463
-0.0060067177,0.06946857,0.016776416,0.010525819
0.0007298887,0.06982274,0.025010917,0.013255354
-0.006719619,0.069437966,0.01589391,0.010246482
-0.005053222,0.06951116,0.017954145,0.010901805
-0.006596744,0.06944375,0.016045246,0.010295358
-0.006128192,0.06946276,0.016627107,0.01047742
0.008849978,0.07026805,0.0349066,0.016570982
-0.0034370422,0.069585875,0.01994637,0.011542436
-0.0027128458,0.06962536,0.020829234,0.011837836
0.044506162,0.07239105,0.078087956,0.031361874
0.004413545,0.07000135,0.029538069,0.0147271715
0.028857738,0.07142173,0.059197936,0.024818655
-0.006248355,0.06945841,0.016477022,0.010431495
0.005703926,0.070066586,0.0311195,0.015246388
-0.005330324,0.0694987,0.017612014,0.0107924305
0.018285334,0.07079817,0.046384487,0.02044129
0.01948756,0.07086681,0.047845278,0.02093592
0.28269738,0.08144818,0.37485877,0.12308335
0.054647386,0.07293828,0.090461165,0.03549039
0.024791598,0.07121281,0.054219816,0.023177829
0.008711815,0.07027681,0.034711752,0.016537245
-0.0021048486,0.069661036,0.021566425,0.012089308
0.29018784,0.08132239,0.38485724,0.12540013
0.1572535,0.07823621,0.21603778,0.076931775
0.0044491887,0.07003717,0.029526625,0.014788475
-0.005342245,0.069498405,0.017596874,0.010788079
0.0007302761,0.06982644,0.025005434,0.013260599
-0.0061297715,0.06946434,0.016622338,0.010479059
0.1555382,0.07831247,0.2136713,0.07646692
0.03675306,0.071886376,0.06876835,0.028086241
0.05651182,0.07303931,0.09273535,0.03624999
0.005127549,0.07003008,0.030425105,0.0150042735
0.22755885,0.079272345,0.30628812,0.10174143
0.013322473,0.07060768,0.04020408,0.018527683
-0.0057273805,0.06948008,0.017123017,0.010634627
0.007206738,0.070169345,0.03291801,0.01588815
-0.0017639697,0.069653645,0.022024188,0.012192424
0.12883309,0.07741244,0.18021122,0.06634295
0.035449386,0.071723565,0.06732777,0.0274277
-0.005987644,0.06947149,0.016796622,0.01053625
0.10457754,0.07645486,0.15004757,0.056953903
-0.0031096637,0.0695989,0.020353291,0.011669304
-0.006311059,0.06945594,0.01639888,0.0104072355
0.25695628,0.079840526,0.34380665,0.11230177
-0.0027908087,0.069599584,0.020769153,0.011776235
-0.0061938167,0.06946029,0.01654527,0.010452207
-0.005617827,0.06948875,0.01725224,0.010683056
-0.0061501265,0.06946723,0.016591106,0.010476317
-0.005056143,0.0695097,0.017952714,0.010898795
0.019961119,0.070852056,0.048488412,0.02107298
0.019399941,0.07076572,0.04789469,0.02076703
0.35177845,0.0709994,0.48213547,0.13160992
0.002557844,0.06990363,0.027269993,0.013974991
-0.0057121515,0.069480225,0.017142747,0.010639872
0.010007352,0.07029481,0.03637657,0.016992833
-0.005766988,0.06947972,0.017071877,0.0106210075
0.15738177,0.078308895,0.21608761,0.077074885
0.0417763,0.07217465,0.074869365,0.030155
0.0051423013,0.07003839,0.030430887,0.015020724
0.05446148,0.07290782,0.09026745,0.03538653
-0.0068178177,0.069433495,0.015772734,0.010207709
0.0020968318,0.06987409,0.026714955,0.013780948
-0.0015091896,0.06969561,0.02228925,0.012335118
0.00021317601,0.069786415,0.024394188,0.013033386
0.0066785216,0.070116,0.032313738,0.015638884
-0.0010620058,0.06970082,0.022865567,0.012491044
0.0011401474,0.06983058,0.025534663,0.013402756
-0.0065398216,0.06944521,0.016117249,0.010316279
0.006860554,0.07011171,0.032558773,0.015693422
-0.0015735328,0.06967883,0.022232387,0.012290623
0.010432422,0.07033689,0.036864076,0.01719239
-0.006439358,0.06944959,0.016241584,0.010355737
-0.0015514791,0.06968136,0.022257004,0.012301441
-0.0065526366,0.06944446,0.016101751,0.010310974
0.00042545795,0.06977935,0.024683211,0.013094213
-0.0005917847,0.069735184,0.023424659,0.012694892
0.00034433603,0.06978397,0.024569664,0.013073619
-0.0062863827,0.06945588,0.016431365,0.0104153715
-0.00095051527,0.06970017,0.023012433,0.012527194
9.7543e-05,0.06977661,0.024258826,0.012981411
-0.0034096837,0.06959005,0.019975398,0.011557277
0.002541542,0.069896534,0.027260099,0.0139597915
0.0008356571,0.0698169,0.025158677,0.013282474
0.047692776,0.072560474,0.08198008,0.032655593
-0.0018028021,0.069664225,0.02195612,0.012194153
-0.0025687814,0.06962879,0.021012101,0.011890497
-0.001873672,0.06965928,0.02187154,0.012163755
-0.006201148,0.069459125,0.01653758,0.010448124
0.004629612,0.06999658,0.029828284,0.014792379
-0.004178524,0.069551036,0.019033287,0.01124775
0.06408718,0.07345156,0.10197231,0.039338764
0.044917315,0.07231702,0.07874563,0.031396236
0.06697413,0.07370563,0.105335265,0.040650006
0.06369364,0.07344608,0.10146651,0.03920039
-0.0021502972,0.069649115,0.021526251,0.0120577775
-0.0035571158,0.06958468,0.019791279,0.0115008615
0.09045786,0.074939445,0.134042,0.05016404
0.004099697,0.06992553,0.029250596,0.014518019
0.15726805,0.078682676,0.21533287,0.07755375
0.008705139,0.070230976,0.034777377,0.01647162
-0.0025122762,0.06962772,0.02108774,0.011907782
-0.003648132,0.06958316,0.019674633,0.011468496
0.1265482,0.077112064,0.17771062,0.065167904
0.009035468,0.07025464,0.035170887,0.016614165
-0.00487417,0.06951575,0.01818088,0.010967638
-0.0058133006,0.069477394,0.017015073,0.010602351
0.0014615655,0.06984787,0.025926981,0.0135334395
0.011238754,0.0703748,0.03785709,0.017512914
-0.0007916391,0.06971668,0.023193274,0.012602922
0.004782617,0.07001643,0.02999619,0.0148706995
0.034701705,0.07174383,0.06631723,0.027207043
0.005785674,0.07007311,0.03121594,0.015282597
0.002541542,0.069884494,0.027279649,0.013943192
-0.006258607,0.069456235,0.016467128,0.010425027
-0.0066577196,0.069439635,0.015972171,0.01026943
0.06186822,0.07333632,0.09925765,0.038441654
-0.004012108,0.06955744,0.019240472,0.011311915
0.089051455,0.07490696,0.13225561,0.04965156
-0.002121687,0.069655135,0.021554027,0.012075599
-0.006171286,0.0694599,0.01657525,0.010459181
0.058120966,0.0730529,0.09481734,0.036803957
-0.0046721995,0.06952663,0.018427286,0.011049803
-0.0062286556,0.06945898,0.016501818,0.010438796
0.00018930435,0.06976746,0.024393652,0.012999233
-0.004858434,0.06951724,0.01819906,0.01097497
0.0012180805,0.06983285,0.025632892,0.013431724
0.038572818,0.07199536,0.07097116,0.028842028
-0.002628535,0.0696262,0.020938132,0.011867043
-0.0049611926,0.06951521,0.01806787,0.010937985
-0.0041469336,0.06955348,0.0190706,0.011261579
0.32548797,0.077309325,0.43752316,0.13159013
-0.006141156,0.06946196,0.01661143,0.010471996
-0.004526973,0.06953432,0.01860467,0.011108752
-0.0012438893,0.06969689,0.022634063,0.012425151
0.17392582,0.07927261,0.2361578,0.08390814
0.206842,0.08046575,0.2772641,0.09650254
-0.003546238,0.069579884,0.019813333,0.011497851
0.016004622,0.07064296,0.04365394,0.019468363
0.17378539,0.07918657,0.23611364,0.0837425
-0.006376326,0.06945239,0.016319368,0.010380592
0.15601277,0.078485414,0.21401128,0.076863706
0.12450737,0.076897874,0.17538929,0.06419331
0.048855245,0.072537854,0.08353683,0.033010837
0.035865813,0.071755335,0.0678207,0.02761012
0.017021775,0.07068704,0.04491249,0.019867446
0.18290854,0.07927923,0.24789277,0.08690417
0.1128957,0.07612328,0.16146186,0.059261438
0.30926764,0.076855734,0.41704884,0.12556976
-0.006414026,0.069449976,0.016274009,0.010364737
0.03843975,0.07197286,0.07083365,0.028766599
0.009944916,0.070320204,0.036253724,0.017007258
0.037261575,0.071898,0.069414526,0.028271403
0.13676646,0.07749851,0.19044515,0.0690999
-0.004470527,0.06953882,0.018671308,0.011133786
0.017220616,0.07073082,0.045101557,0.019994166
0.10526168,0.07577108,0.15205082,0.056236204
0.0009432435,0.069819406,0.025295291,0.013321754
-0.005289167,0.06949969,0.017664168,0.010807451
0.0827111,0.07448901,0.12464264,0.046965625
0.044633955,0.0722204,0.07853177,0.031168457
-0.004351437,0.0695429,0.018820379,0.011178996
-0.00031214952,0.06975143,0.023763988,0.012810286
-0.005654633,0.069483295,0.01721302,0.010663327
0.0006709695,0.06981929,0.024939451,0.013231065
-0.00038194656,0.06975894,0.023660574,0.012797471
0.0018211901,0.0698833,0.026339684,0.013702031
0.0011101961,0.06982891,0.025498126,0.013390448
0.00030612946,0.06977214,0.024538908,0.013044562
0.038816392,0.07198356,0.07130882,0.02890664
-0.0006276369,0.069731966,0.023382995,0.01267856
0.0048818886,0.07004477,0.030079994,0.0149429105
0.038096845,0.0720409,0.07027498,0.02874666
-0.0055599213,0.06948887,0.0173277,0.010702487
0.03294593,0.07166396,0.06415084,0.026512858
0.29814017,0.08003761,0.397339,0.12626827
0.08823547,0.07511856,0.13084549,0.04967272
-0.0046308637,0.069530234,0.018475566,0.011068549
0.07384628,0.07412805,0.113636374,0.043518957
-0.0058013797,0.06947671,0.017031703,0.010605451
0.08658743,0.0749843,0.12890819,0.048939165
0.037933737,0.07209785,0.069969326,0.028771129
0.18607968,0.079867914,0.25108474,0.088772416
0.05172193,0.07279135,0.08687428,0.03431454
0.115742266,0.07660757,0.1643987,0.06087744
-0.006128788,0.06946464,0.016623233,0.010479804
0.14922434,0.078985766,0.20432368,0.07529819
0.08687964,0.07495518,0.12933761,0.048996057
0.022736132,0.07099335,0.051887963,0.022190955
0.0074973702,0.07020514,0.033239994,0.016034272
0.034761727,0.07170786,0.06645396,0.02717733
0.008513927,0.070225075,0.034536872,0.016399886
-0.0064162314,0.069450155,0.01627079,0.0103642605
0.06379497,0.0734099,0.10165778,0.03918403
-0.0063191056,0.06945418,0.01639131,0.01040208
0.35483825,0.0697474,0.48816812,0.13089693
0.28633386,0.08078359,0.38069147,0.12337375
-0.00421679,0.069551304,0.018982802,0.011235382
-0.0046349764,0.06953196,0.01846734,0.011069622
-0.0023232698,0.06964396,0.021308456,0.011993047
0.012823433,0.07050218,0.039722715,0.018215891
-0.005001396,0.069517,0.018012438,0.010927137
-0.0009843409,0.06971298,0.022947345,0.012533721
0.29680562,0.08146246,0.39328355,0.12779415
-0.0052449703,0.06950392,0.01771513,0.010828044
0.019291878,0.07083635,0.047638748,0.02082872
0.14555585,0.077722296,0.20157522,0.07233167
0.30026543,0.08080061,0.39888084,0.12802964
0.008408427,0.07024296,0.03436998,0.016389485
0.15092212,0.07866876,0.20705763,0.07542443
0.02000618,0.07088174,0.04849914,0.021129008
-0.0045792162,0.06953631,0.018533204,0.011094149
-0.006303251,0.0694585,0.01640502,0.010413285
6.207824e-05,0.0697663,0.024229202,0.012955364
0.017243862,0.07071383,0.045159493,0.01997834
-0.000641346,0.069718644,0.02338675,0.012655612
-0.006044954,0.06946708,0.016728852,0.010511097
0.016628087,0.07068358,0.044403348,0.019731846
0.008695483,0.07023324,0.034761105,0.016471501
0.0013830662,0.06983386,0.025847051,0.013488051
0.0005529523,0.06979011,0.024832461,0.013151493
0.046389103,0.0723917,0.08054903,0.031988885
0.041154057,0.0722767,0.07389024,0.030089136
-0.0035891235,0.069576815,0.019762192,0.011479314
0.08463493,0.074714676,0.12679237,0.047917213
-0.00452438,0.06953199,0.018611941,0.011106338
0.0032132268,0.06995578,0.02804241,0.014264997
0.062241077,0.07352276,0.09944287,0.038823422
-0.001365006,0.06968404,0.022496495,0.012367185
0.0045619607,0.06999935,0.0297353,0.014773753
0.19623744,0.08074702,0.2629416,0.09336531
-0.0064710975,0.06944741,0.016203556,0.010342237
-0.004445672,0.069539025,0.018703494,0.01114225
0.19258046,0.079843834,0.2596242,0.09090066
0.26010388,0.08191492,0.344559,0.116216004
0.06374091,0.073350474,0.10168341,0.039083954
-0.006714821,0.069436505,0.015902434,0.010246094
0.20626372,0.08026259,0.27683726,0.0960294
0.0026016235,0.06988622,0.027355466,0.013965484
-0.006351471,0.069451615,0.016353164,0.010387775
0.08697766,0.07491137,0.12953678,0.048968073
0.1271702,0.077221915,0.17834583,0.065526545
0.10326439,0.07564475,0.14964408,0.055397388
0.06843656,0.074187055,0.10646698,0.041801777
-0.0063566566,0.06945257,0.01634482,0.010387387
-0.006406337,0.06944962,0.016284619,0.010366794
-0.004641831,0.069525465,0.01846889,0.011058327
0.0042418838,0.06998472,0.02934054,0.0146471225
0.006513804,0.070045725,0.03221235,0.0154868625
-0.005847156,0.06947209,0.01697937,0.010583784
0.020080805,0.070908144,0.048553977,0.021190282
0.08594614,0.07468225,0.12855932,0.04830846
0.069185615,0.0735849,0.108422846,0.041218396
0.17506462,0.079741284,0.23688695,0.08493471
0.25594687,0.08169605,0.33947825,0.11453104
0.0003989637,0.069775835,0.024654303,0.013080534
0.0902186,0.07488872,0.13381132,0.050014462
0.21155632,0.080600545,0.28321,0.09825635
0.16786015,0.07885639,0.22890124,0.081315875
0.12974638,0.07681434,0.18237513,0.06581974
0.104023695,0.07512893,0.15147322,0.054936823
0.028747022,0.07123934,0.059348855,0.024529632
-0.0067355037,0.06943922,0.015871022,0.010242965
-0.004930973,0.06952293,0.01809493,0.010958698
-0.006470412,0.06944756,0.016204093,0.010342654
-0.007046759,0.06942357,0.015489493,0.010117825
-0.005263716,0.06950872,0.017682824,0.010828402
-0.0070276856,0.06942432,0.015513156,0.010125186
-0.00566864,0.069483325,0.017194603,0.010658618
-0.0025080144,0.06964071,0.021072183,0.011927154
-0.006509155,0.06944628,0.016155574,0.010328021
-0.0052158237,0.06951021,0.017743085,0.010846462
-0.0063135624,0.06945397,0.016398821,0.010403689
-0.006988883,0.06942569,0.015561793,0.010139998
-0.0069794655,0.069426134,0.015573237,0.010143783
-0.005610913,0.06948386,0.017269287,0.010678615
-0.006306529,0.06945427,0.016407523,0.010406371
-0.0061653256,0.06946169,0.016580258,0.010463592
-0.006268978,0.069456264,0.016453538,0.01042169
-0.0063417256,0.06945206,0.016365204,0.010391649
-0.0059022307,0.069472626,0.016906414,0.010566201
-0.005980432,0.06946896,0.016810093,0.010535177
-0.0069547296,0.06942712,0.015604053,0.01015329
-0.006429136,0.06944992,0.016254399,0.010359641
-0.0062946677,0.06945582,0.016420636,0.010412481
0.0019337237,0.0698681,0.026511464,0.0137184225
0.0008442998,0.06981374,0.025175069,0.013281073
0.0001822114,0.06977333,0.024374817,0.0130050145
0.0013559163,0.06985007,0.025785122,0.013501372
-0.0038991868,0.06954999,0.019400273,0.011339184
-0.0053061247,0.06949757,0.017645571,0.010798927
-0.0017428994,0.06966142,0.02203909,0.012210127
-0.0009222925,0.06971489,0.023025427,0.012556966
0.00060606,0.06982012,0.024853263,0.0132106505
-0.005728185,0.069478735,0.01712421,0.010632571
-0.00559783,0.069486514,0.017281983,0.010686632
