SOIL_LANDSCAPE_ID,ERI_TILL_1981_VAL,ERI_TILL_1981_CLASS,ERI_TILL_1981_CLASS_EN,ERI_TILL_1981_CLASS_FR,ERI_TILL_1986_VAL,ERI_TILL_1986_CLASS,ERI_TILL_1986_CLASS_EN,ERI_TILL_1986_CLASS_FR,ERI_TILL_1991_VAL,ERI_TILL_1991_CLASS,ERI_TILL_1991_CLASS_EN,ERI_TILL_1991_CLASS_FR,ERI_TILL_1996_VAL,ERI_TILL_1996_CLASS,ERI_TILL_1996_CLASS_EN,ERI_TILL_1996_CLASS_FR,ERI_TILL_2001_VAL,ERI_TILL_2001_CLASS,ERI_TILL_2001_CLASS_EN,ERI_TILL_2001_CLASS_FR,ERI_TILL_2006_VAL,ERI_TILL_2006_CLASS,ERI_TILL_2006_CLASS_EN,ERI_TILL_2006_CLASS_FR,ERI_TILL_2011_VAL,ERI_TILL_2011_CLASS,ERI_TILL_2011_CLASS_EN,ERI_TILL_2011_CLASS_FR,ERI_TILL_2016_VAL,ERI_TILL_2016_CLASS,ERI_TILL_2016_CLASS_EN,ERI_TILL_2016_CLASS_FR,ERI_TILL_2021_VAL,ERI_TILL_2021_CLASS,ERI_TILL_2021_CLASS_EN,ERI_TILL_2021_CLASS_FR,ERI_TILL_81_21_CHG_VAL,ERI_TILL_81_21_CHG_CLASS,ERI_TILL_81_21_CHG_CLASS_EN,ERI_TILL_81_21_CHG_CLASS_FR
244007,2.401,1,Very Low,Très faible,2.28,1,Very Low,Très faible,2.61,1,Very Low,Très faible,1.371,1,Very Low,Très faible,1.003,1,Very Low,Très faible,0.735,1,Very Low,Très faible,0.308,1,Very Low,Très faible,0.261,1,Very Low,Très faible,0.391,1,Very Low,Très faible,-2.01,-1,Decrease,Diminuation
244014,7.188,2,Low,Faible,6.835,2,Low,Faible,7.828,2,Low,Faible,4.123,1,Very Low,Très faible,3.26,1,Very Low,Très faible,2.79,1,Very Low,Très faible,1.048,1,Very Low,Très faible,1.177,1,Very Low,Très faible,1.045,1,Very Low,Très faible,-6.143,-2,Large Decrease,Grande diminuation
244061,2.563,1,Very Low,Très faible,2.53,1,Very Low,Très faible,2.357,1,Very Low,Très faible,2.018,1,Very Low,Très faible,1.514,1,Very Low,Très faible,1.098,1,Very Low,Très faible,0.654,1,Very Low,Très faible,0.723,1,Very Low,Très faible,0.763,1,Very Low,Très faible,-1.8,-1,Decrease,Diminuation
244070,2.606,1,Very Low,Très faible,2.657,1,Very Low,Très faible,2.325,1,Very Low,Très faible,2.002,1,Very Low,Très faible,1.514,1,Very Low,Très faible,1.098,1,Very Low,Très faible,0.654,1,Very Low,Très faible,0.723,1,Very Low,Très faible,0.799,1,Very Low,Très faible,-1.807,-1,Decrease,Diminuation
252025,3.679,1,Very Low,Très faible,3.426,1,Very Low,Très faible,3.388,1,Very Low,Très faible,2.932,1,Very Low,Très faible,2.471,1,Very Low,Très faible,2.664,1,Very Low,Très faible,1.259,1,Very Low,Très faible,1.019,1,Very Low,Très faible,1.314,1,Very Low,Très faible,-2.365,-1,Decrease,Diminuation
371010,16.421,3,Moderate,Moyen,16.63,3,Moderate,Moyen,14.186,3,Moderate,Moyen,16.923,3,Moderate,Moyen,12.8,3,Moderate,Moyen,11.856,3,Moderate,Moyen,12.319,3,Moderate,Moyen,11.643,3,Moderate,Moyen,15.729,3,Moderate,Moyen,-0.692,0,Little or no change,Peu ou pas de changement
375001,0.853,1,Very Low,Très faible,0.881,1,Very Low,Très faible,0.799,1,Very Low,Très faible,0.724,1,Very Low,Très faible,0.606,1,Very Low,Très faible,0.671,1,Very Low,Très faible,0.722,1,Very Low,Très faible,0.663,1,Very Low,Très faible,0.92,1,Very Low,Très faible,0.0670000000000001,0,Little or no change,Peu ou pas de changement
375002,1.902,1,Very Low,Très faible,1.919,1,Very Low,Très faible,1.71,1,Very Low,Très faible,1.752,1,Very Low,Très faible,1.59,1,Very Low,Très faible,1.478,1,Very Low,Très faible,1.549,1,Very Low,Très faible,1.501,1,Very Low,Très faible,1.773,1,Very Low,Très faible,-0.129,0,Little or no change,Peu ou pas de changement
375003,1.048,1,Very Low,Très faible,1.037,1,Very Low,Très faible,0.992,1,Very Low,Très faible,0.955,1,Very Low,Très faible,0.884,1,Very Low,Très faible,0.765,1,Very Low,Très faible,0.745,1,Very Low,Très faible,0.706,1,Very Low,Très faible,0.893,1,Very Low,Très faible,-0.155,0,Little or no change,Peu ou pas de changement
375004,0.721,1,Very Low,Très faible,0.691,1,Very Low,Très faible,0.762,1,Very Low,Très faible,0.771,1,Very Low,Très faible,0.69,1,Very Low,Très faible,0.629,1,Very Low,Très faible,0.663,1,Very Low,Très faible,0.626,1,Very Low,Très faible,0.651,1,Very Low,Très faible,-0.07,0,Little or no change,Peu ou pas de changement
375005,7.565,2,Low,Faible,7.475,2,Low,Faible,6.867,2,Low,Faible,6.944,2,Low,Faible,6.219,2,Low,Faible,5.764,1,Very Low,Très faible,5.974,1,Very Low,Très faible,5.639,1,Very Low,Très faible,5.99,1,Very Low,Très faible,-1.575,-1,Decrease,Diminuation
375006,0.898,1,Very Low,Très faible,0.882,1,Very Low,Très faible,0.81,1,Very Low,Très faible,0.815,1,Very Low,Très faible,0.725,1,Very Low,Très faible,0.674,1,Very Low,Très faible,0.706,1,Very Low,Très faible,0.637,1,Very Low,Très faible,0.683,1,Very Low,Très faible,-0.215,0,Little or no change,Peu ou pas de changement
375007,1.013,1,Very Low,Très faible,0.979,1,Very Low,Très faible,0.9,1,Very Low,Très faible,0.902,1,Very Low,Très faible,0.84,1,Very Low,Très faible,0.731,1,Very Low,Très faible,0.729,1,Very Low,Très faible,0.668,1,Very Low,Très faible,0.7,1,Very Low,Très faible,-0.313,0,Little or no change,Peu ou pas de changement
375008,0.84,1,Very Low,Très faible,0.83,1,Very Low,Très faible,0.762,1,Very Low,Très faible,0.771,1,Very Low,Très faible,0.69,1,Very Low,Très faible,0.64,1,Very Low,Très faible,0.663,1,Very Low,Très faible,0.626,1,Very Low,Très faible,0.654,1,Very Low,Très faible,-0.186,0,Little or no change,Peu ou pas de changement
375010,0.844,1,Very Low,Très faible,0.818,1,Very Low,Très faible,0.827,1,Very Low,Très faible,0.834,1,Very Low,Très faible,0.793,1,Very Low,Très faible,0.767,1,Very Low,Très faible,0.726,1,Very Low,Très faible,0.682,1,Very Low,Très faible,0.742,1,Very Low,Très faible,-0.102,0,Little or no change,Peu ou pas de changement
375011,0.65,1,Very Low,Très faible,0.548,1,Very Low,Très faible,0.533,1,Very Low,Très faible,0.546,1,Very Low,Très faible,0.493,1,Very Low,Très faible,0.451,1,Very Low,Très faible,0.472,1,Very Low,Très faible,0.453,1,Very Low,Très faible,0.574,1,Very Low,Très faible,-0.0760000000000001,0,Little or no change,Peu ou pas de changement
375013,0.69,1,Very Low,Très faible,0.605,1,Very Low,Très faible,0.572,1,Very Low,Très faible,0.524,1,Very Low,Très faible,0.436,1,Very Low,Très faible,0.393,1,Very Low,Très faible,0.387,1,Very Low,Très faible,0.447,1,Very Low,Très faible,0.538,1,Very Low,Très faible,-0.152,0,Little or no change,Peu ou pas de changement
375014,0.673,1,Very Low,Très faible,0.665,1,Very Low,Très faible,0.611,1,Very Low,Très faible,0.618,1,Very Low,Très faible,0.553,1,Very Low,Très faible,0.513,1,Very Low,Très faible,0.532,1,Very Low,Très faible,0.502,1,Very Low,Très faible,0.316,1,Very Low,Très faible,-0.357,0,Little or no change,Peu ou pas de changement
376004,4.014,1,Very Low,Très faible,3.78,1,Very Low,Très faible,2.965,1,Very Low,Très faible,3.326,1,Very Low,Très faible,3.018,1,Very Low,Très faible,3.105,1,Very Low,Très faible,2.714,1,Very Low,Très faible,3.575,1,Very Low,Très faible,3.774,1,Very Low,Très faible,-0.24,0,Little or no change,Peu ou pas de changement
378002,2.282,1,Very Low,Très faible,2.072,1,Very Low,Très faible,2.042,1,Very Low,Très faible,2.111,1,Very Low,Très faible,1.818,1,Very Low,Très faible,1.146,1,Very Low,Très faible,1.582,1,Very Low,Très faible,2.171,1,Very Low,Très faible,2.361,1,Very Low,Très faible,0.0790000000000002,0,Little or no change,Peu ou pas de changement
378003,3.096,1,Very Low,Très faible,2.855,1,Very Low,Très faible,2.586,1,Very Low,Très faible,2.672,1,Very Low,Très faible,2.156,1,Very Low,Très faible,1.374,1,Very Low,Très faible,1.835,1,Very Low,Très faible,1.073,1,Very Low,Très faible,1.593,1,Very Low,Très faible,-1.503,-1,Decrease,Diminuation
379001,0.551,1,Very Low,Très faible,0.513,1,Very Low,Très faible,0.459,1,Very Low,Très faible,0.478,1,Very Low,Très faible,0.419,1,Very Low,Très faible,0.481,1,Very Low,Très faible,0.429,1,Very Low,Très faible,0.52,1,Very Low,Très faible,0.561,1,Very Low,Très faible,0.01,0,Little or no change,Peu ou pas de changement
379002,0.716,1,Very Low,Très faible,0.69,1,Very Low,Très faible,0.558,1,Very Low,Très faible,0.606,1,Very Low,Très faible,0.579,1,Very Low,Très faible,0.656,1,Very Low,Très faible,0.584,1,Very Low,Très faible,0.756,1,Very Low,Très faible,0.847,1,Very Low,Très faible,0.131,0,Little or no change,Peu ou pas de changement
379003,1.94,1,Very Low,Très faible,1.874,1,Very Low,Très faible,1.32,1,Very Low,Très faible,1.258,1,Very Low,Très faible,1.447,1,Very Low,Très faible,1.132,1,Very Low,Très faible,1.047,1,Very Low,Très faible,1.541,1,Very Low,Très faible,1.593,1,Very Low,Très faible,-0.347,0,Little or no change,Peu ou pas de changement
380001,1.625,1,Very Low,Très faible,1.466,1,Very Low,Très faible,1.359,1,Very Low,Très faible,1.24,1,Very Low,Très faible,1.016,1,Very Low,Très faible,0.852,1,Very Low,Très faible,1.132,1,Very Low,Très faible,1.268,1,Very Low,Très faible,1.761,1,Very Low,Très faible,0.136,0,Little or no change,Peu ou pas de changement
380002,1.639,1,Very Low,Très faible,1.549,1,Very Low,Très faible,1.39,1,Very Low,Très faible,1.23,1,Very Low,Très faible,1.183,1,Very Low,Très faible,0.906,1,Very Low,Très faible,1.082,1,Very Low,Très faible,1.262,1,Very Low,Très faible,1.121,1,Very Low,Très faible,-0.518,0,Little or no change,Peu ou pas de changement
380003,1.603,1,Very Low,Très faible,1.438,1,Very Low,Très faible,1.399,1,Very Low,Très faible,1.384,1,Very Low,Très faible,1.083,1,Very Low,Très faible,0.824,1,Very Low,Très faible,1.033,1,Very Low,Très faible,1.211,1,Very Low,Très faible,1.512,1,Very Low,Très faible,-0.091,0,Little or no change,Peu ou pas de changement
380004,0.765,1,Very Low,Très faible,0.813,1,Very Low,Très faible,0.737,1,Very Low,Très faible,0.624,1,Very Low,Très faible,0.432,1,Very Low,Très faible,0.335,1,Very Low,Très faible,0.442,1,Very Low,Très faible,0.581,1,Very Low,Très faible,0.745,1,Very Low,Très faible,-0.02,0,Little or no change,Peu ou pas de changement
380005,0.977,1,Very Low,Très faible,0.828,1,Very Low,Très faible,0.676,1,Very Low,Très faible,0.669,1,Very Low,Très faible,0.465,1,Very Low,Très faible,0.482,1,Very Low,Très faible,0.521,1,Very Low,Très faible,0.529,1,Very Low,Très faible,1.134,1,Very Low,Très faible,0.157,0,Little or no change,Peu ou pas de changement
380006,0.752,1,Very Low,Très faible,0.701,1,Very Low,Très faible,0.636,1,Very Low,Très faible,0.599,1,Very Low,Très faible,0.435,1,Very Low,Très faible,0.378,1,Very Low,Très faible,0.452,1,Very Low,Très faible,0.526,1,Very Low,Très faible,0.53,1,Very Low,Très faible,-0.222,0,Little or no change,Peu ou pas de changement
381002,30.957,4,High,Élevé,28.75,4,High,Élevé,30.771,4,High,Élevé,21.72,3,Moderate,Moyen,21.328,3,Moderate,Moyen,16.779,3,Moderate,Moyen,18.687,3,Moderate,Moyen,20.676,3,Moderate,Moyen,20.457,3,Moderate,Moyen,-10.5,-2,Large Decrease,Grande diminuation
383001,0.827,1,Very Low,Très faible,0.793,1,Very Low,Très faible,0.952,1,Very Low,Très faible,0.795,1,Very Low,Très faible,0.621,1,Very Low,Très faible,0.815,1,Very Low,Très faible,0.752,1,Very Low,Très faible,0.818,1,Very Low,Très faible,0.959,1,Very Low,Très faible,0.132,0,Little or no change,Peu ou pas de changement
383003,8.479,2,Low,Faible,8.608,2,Low,Faible,9.908,2,Low,Faible,8.125,2,Low,Faible,7.305,2,Low,Faible,7.775,2,Low,Faible,7.348,2,Low,Faible,7.803,2,Low,Faible,9.269,2,Low,Faible,0.790000000000001,0,Little or no change,Peu ou pas de changement
383004,17.562,3,Moderate,Moyen,16.828,3,Moderate,Moyen,19.943,3,Moderate,Moyen,13.896,3,Moderate,Moyen,14.688,3,Moderate,Moyen,16.068,3,Moderate,Moyen,17.056,3,Moderate,Moyen,13.121,3,Moderate,Moyen,15.572,3,Moderate,Moyen,-1.99,-1,Decrease,Diminuation
383005,26.181,4,High,Élevé,24.217,4,High,Élevé,25.061,4,High,Élevé,24.483,4,High,Élevé,25.934,4,High,Élevé,23.215,4,High,Élevé,21.765,3,Moderate,Moyen,20.002,3,Moderate,Moyen,24.553,4,High,Élevé,-1.628,-1,Decrease,Diminuation
386014,2.108,1,Very Low,Très faible,2.017,1,Very Low,Très faible,2.248,1,Very Low,Très faible,1.928,1,Very Low,Très faible,1.879,1,Very Low,Très faible,1.56,1,Very Low,Très faible,0.745,1,Very Low,Très faible,,0,Not Assessed,Elément non évalué,1.627,1,Very Low,Très faible,-0.481,0,Little or no change,Peu ou pas de changement
391002,19.5,3,Moderate,Moyen,19.5,3,Moderate,Moyen,19.5,3,Moderate,Moyen,19.5,3,Moderate,Moyen,19.5,3,Moderate,Moyen,18.93,3,Moderate,Moyen,14.708,3,Moderate,Moyen,,0,Not Assessed,Elément non évalué,19.175,3,Moderate,Moyen,-0.324999999999999,0,Little or no change,Peu ou pas de changement
400006,7.836,2,Low,Faible,7.626,2,Low,Faible,5.4,1,Very Low,Très faible,3.688,1,Very Low,Très faible,2.78,1,Very Low,Très faible,4.926,1,Very Low,Très faible,3.594,1,Very Low,Très faible,4.374,1,Very Low,Très faible,11.442,3,Moderate,Moyen,3.606,1,Increase,Augmentation
400008,7.43,2,Low,Faible,6.915,2,Low,Faible,6.105,2,Low,Faible,4.502,1,Very Low,Très faible,3.661,1,Very Low,Très faible,7.208,2,Low,Faible,5.526,1,Very Low,Très faible,9.818,2,Low,Faible,12.804,3,Moderate,Moyen,5.374,1,Increase,Augmentation
401019,0.954,1,Very Low,Très faible,0.835,1,Very Low,Très faible,0.848,1,Very Low,Très faible,0.706,1,Very Low,Très faible,0.808,1,Very Low,Très faible,0.726,1,Very Low,Très faible,0.513,1,Very Low,Très faible,0.862,1,Very Low,Très faible,0.825,1,Very Low,Très faible,-0.129,0,Little or no change,Peu ou pas de changement
401021,1.723,1,Very Low,Très faible,1.732,1,Very Low,Très faible,1.718,1,Very Low,Très faible,1.785,1,Very Low,Très faible,2.026,1,Very Low,Très faible,1.947,1,Very Low,Très faible,1.521,1,Very Low,Très faible,1.664,1,Very Low,Très faible,1.522,1,Very Low,Très faible,-0.201,0,Little or no change,Peu ou pas de changement
401023,1.764,1,Very Low,Très faible,1.768,1,Very Low,Très faible,1.776,1,Very Low,Très faible,1.838,1,Very Low,Très faible,2.017,1,Very Low,Très faible,1.96,1,Very Low,Très faible,1.705,1,Very Low,Très faible,1.93,1,Very Low,Très faible,1.744,1,Very Low,Très faible,-0.02,0,Little or no change,Peu ou pas de changement
401026,7.31,2,Low,Faible,6.997,2,Low,Faible,7.599,2,Low,Faible,6.065,2,Low,Faible,7.029,2,Low,Faible,6.42,2,Low,Faible,5.678,1,Very Low,Très faible,7.78,2,Low,Faible,7.5,2,Low,Faible,0.19,0,Little or no change,Peu ou pas de changement
401035,0.741,1,Very Low,Très faible,0.725,1,Very Low,Très faible,0.991,1,Very Low,Très faible,0.759,1,Very Low,Très faible,0.897,1,Very Low,Très faible,1.038,1,Very Low,Très faible,0.596,1,Very Low,Très faible,0.707,1,Very Low,Très faible,0.842,1,Very Low,Très faible,0.101,0,Little or no change,Peu ou pas de changement
401042,0.918,1,Very Low,Très faible,0.889,1,Very Low,Très faible,0.94,1,Very Low,Très faible,0.888,1,Very Low,Très faible,0.964,1,Very Low,Très faible,0.814,1,Very Low,Très faible,0.676,1,Very Low,Très faible,0.972,1,Very Low,Très faible,1.333,1,Very Low,Très faible,0.415,0,Little or no change,Peu ou pas de changement
401046,0.859,1,Very Low,Très faible,0.762,1,Very Low,Très faible,0.799,1,Very Low,Très faible,0.773,1,Very Low,Très faible,0.811,1,Very Low,Très faible,0.899,1,Very Low,Très faible,0.642,1,Very Low,Très faible,0.852,1,Very Low,Très faible,0.773,1,Very Low,Très faible,-0.086,0,Little or no change,Peu ou pas de changement
401047,0.777,1,Very Low,Très faible,0.788,1,Very Low,Très faible,0.821,1,Very Low,Très faible,0.74,1,Very Low,Très faible,0.84,1,Very Low,Très faible,0.806,1,Very Low,Très faible,0.72,1,Very Low,Très faible,0.808,1,Very Low,Très faible,0.79,1,Very Low,Très faible,0.013,0,Little or no change,Peu ou pas de changement
401050,0.864,1,Very Low,Très faible,0.748,1,Very Low,Très faible,0.779,1,Very Low,Très faible,0.769,1,Very Low,Très faible,0.857,1,Very Low,Très faible,0.817,1,Very Low,Très faible,0.689,1,Very Low,Très faible,0.804,1,Very Low,Très faible,0.753,1,Very Low,Très faible,-0.111,0,Little or no change,Peu ou pas de changement
401051,0.814,1,Very Low,Très faible,0.787,1,Very Low,Très faible,0.786,1,Very Low,Très faible,0.766,1,Very Low,Très faible,0.851,1,Very Low,Très faible,0.885,1,Very Low,Très faible,0.613,1,Very Low,Très faible,0.739,1,Very Low,Très faible,0.754,1,Very Low,Très faible,-0.0599999999999999,0,Little or no change,Peu ou pas de changement
401053,2.047,1,Very Low,Très faible,1.675,1,Very Low,Très faible,1.826,1,Very Low,Très faible,1.849,1,Very Low,Très faible,2.091,1,Very Low,Très faible,2.067,1,Very Low,Très faible,1.581,1,Very Low,Très faible,1.783,1,Very Low,Très faible,1.657,1,Very Low,Très faible,-0.39,0,Little or no change,Peu ou pas de changement
401055,0.817,1,Very Low,Très faible,0.777,1,Very Low,Très faible,0.739,1,Very Low,Très faible,0.657,1,Very Low,Très faible,0.857,1,Very Low,Très faible,0.817,1,Very Low,Très faible,0.689,1,Very Low,Très faible,0.804,1,Very Low,Très faible,,0,Not Assessed,Elément non évalué,,,Not Assessed,Elément non évalué
401056,0.993,1,Very Low,Très faible,0.834,1,Very Low,Très faible,0.984,1,Very Low,Très faible,0.739,1,Very Low,Très faible,0.808,1,Very Low,Très faible,0.726,1,Very Low,Très faible,0.639,1,Very Low,Très faible,0.862,1,Very Low,Très faible,0.824,1,Very Low,Très faible,-0.169,0,Little or no change,Peu ou pas de changement
401058,0.774,1,Very Low,Très faible,0.752,1,Very Low,Très faible,0.828,1,Very Low,Très faible,0.743,1,Very Low,Très faible,0.846,1,Very Low,Très faible,0.817,1,Very Low,Très faible,0.747,1,Very Low,Très faible,0.806,1,Very Low,Très faible,0.744,1,Very Low,Très faible,-0.03,0,Little or no change,Peu ou pas de changement
401059,0.88,1,Very Low,Très faible,0.731,1,Very Low,Très faible,0.771,1,Very Low,Très faible,0.802,1,Very Low,Très faible,0.821,1,Very Low,Très faible,0.764,1,Very Low,Très faible,0.689,1,Very Low,Très faible,0.804,1,Very Low,Très faible,0.577,1,Very Low,Très faible,-0.303,0,Little or no change,Peu ou pas de changement
401063,0.868,1,Very Low,Très faible,0.765,1,Very Low,Très faible,0.788,1,Very Low,Très faible,0.645,1,Very Low,Très faible,0.857,1,Very Low,Très faible,0.817,1,Very Low,Très faible,0.689,1,Very Low,Très faible,0.804,1,Very Low,Très faible,,0,Not Assessed,Elément non évalué,,,Not Assessed,Elément non évalué
401064,0.798,1,Very Low,Très faible,0.702,1,Very Low,Très faible,0.73,1,Very Low,Très faible,0.823,1,Very Low,Très faible,0.899,1,Very Low,Très faible,0.834,1,Very Low,Très faible,0.797,1,Very Low,Très faible,0.798,1,Very Low,Très faible,0.724,1,Very Low,Très faible,-0.0740000000000001,0,Little or no change,Peu ou pas de changement
401065,2.427,1,Very Low,Très faible,2.117,1,Very Low,Très faible,2.386,1,Very Low,Très faible,1.926,1,Very Low,Très faible,2.043,1,Very Low,Très faible,2.099,1,Very Low,Très faible,1.722,1,Very Low,Très faible,2.162,1,Very Low,Très faible,2.114,1,Very Low,Très faible,-0.313,0,Little or no change,Peu ou pas de changement
401066,2.179,1,Very Low,Très faible,2.044,1,Very Low,Très faible,1.958,1,Very Low,Très faible,1.852,1,Very Low,Très faible,2.261,1,Very Low,Très faible,1.665,1,Very Low,Très faible,1.704,1,Very Low,Très faible,1.98,1,Very Low,Très faible,1.924,1,Very Low,Très faible,-0.255,0,Little or no change,Peu ou pas de changement
401067,0.718,1,Very Low,Très faible,0.761,1,Very Low,Très faible,0.768,1,Very Low,Très faible,0.793,1,Very Low,Très faible,0.882,1,Very Low,Très faible,0.848,1,Very Low,Très faible,0.639,1,Very Low,Très faible,0.688,1,Very Low,Très faible,0.635,1,Very Low,Très faible,-0.083,0,Little or no change,Peu ou pas de changement
401069,0.86,1,Very Low,Très faible,0.854,1,Very Low,Très faible,0.985,1,Very Low,Très faible,0.847,1,Very Low,Très faible,0.857,1,Very Low,Très faible,0.817,1,Very Low,Très faible,0.689,1,Very Low,Très faible,0.83,1,Very Low,Très faible,0.784,1,Very Low,Très faible,-0.076,0,Little or no change,Peu ou pas de changement
401070,1.837,1,Very Low,Très faible,1.795,1,Very Low,Très faible,1.87,1,Very Low,Très faible,1.847,1,Very Low,Très faible,2.058,1,Very Low,Très faible,2.108,1,Very Low,Très faible,1.655,1,Very Low,Très faible,1.931,1,Very Low,Très faible,1.89,1,Very Low,Très faible,0.0529999999999999,0,Little or no change,Peu ou pas de changement
401071,0.89,1,Very Low,Très faible,0.656,1,Very Low,Très faible,0.74,1,Very Low,Très faible,0.671,1,Very Low,Très faible,0.736,1,Very Low,Très faible,0.778,1,Very Low,Très faible,0.6,1,Very Low,Très faible,0.812,1,Very Low,Très faible,0.742,1,Very Low,Très faible,-0.148,0,Little or no change,Peu ou pas de changement
401072,24.404,4,High,Élevé,22.293,4,High,Élevé,22.723,4,High,Élevé,21.679,3,Moderate,Moyen,24.779,4,High,Élevé,22.093,4,High,Élevé,20.088,3,Moderate,Moyen,24.424,4,High,Élevé,22.244,4,High,Élevé,-2.16,-1,Decrease,Diminuation
401073,2.019,1,Very Low,Très faible,1.795,1,Very Low,Très faible,1.87,1,Very Low,Très faible,1.847,1,Very Low,Très faible,2.058,1,Very Low,Très faible,1.962,1,Very Low,Très faible,1.655,1,Very Low,Très faible,1.931,1,Very Low,Très faible,,0,Not Assessed,Elément non évalué,,,Not Assessed,Elément non évalué
401074,0.866,1,Very Low,Très faible,0.885,1,Very Low,Très faible,1.079,1,Very Low,Très faible,0.753,1,Very Low,Très faible,0.772,1,Very Low,Très faible,0.717,1,Very Low,Très faible,0.688,1,Very Low,Très faible,0.791,1,Very Low,Très faible,0.908,1,Very Low,Très faible,0.042,0,Little or no change,Peu ou pas de changement
401075,0.895,1,Very Low,Très faible,0.821,1,Very Low,Très faible,0.897,1,Very Low,Très faible,0.824,1,Very Low,Très faible,0.915,1,Very Low,Très faible,0.848,1,Very Low,Très faible,0.689,1,Very Low,Très faible,0.804,1,Very Low,Très faible,0.737,1,Very Low,Très faible,-0.158,0,Little or no change,Peu ou pas de changement
401076,2.002,1,Very Low,Très faible,1.837,1,Very Low,Très faible,1.86,1,Very Low,Très faible,1.925,1,Very Low,Très faible,2.104,1,Very Low,Très faible,1.925,1,Very Low,Très faible,1.615,1,Very Low,Très faible,1.989,1,Very Low,Très faible,2,1,Very Low,Très faible,-0.00199999999999978,0,Little or no change,Peu ou pas de changement
401077,1.98,1,Very Low,Très faible,1.571,1,Very Low,Très faible,1.611,1,Very Low,Très faible,2.012,1,Very Low,Très faible,2.161,1,Very Low,Très faible,1.987,1,Very Low,Très faible,1.426,1,Very Low,Très faible,1.877,1,Very Low,Très faible,2.089,1,Very Low,Très faible,0.109,0,Little or no change,Peu ou pas de changement
401078,1.889,1,Very Low,Très faible,1.728,1,Very Low,Très faible,1.92,1,Very Low,Très faible,1.844,1,Very Low,Très faible,2.104,1,Very Low,Très faible,2.054,1,Very Low,Très faible,1.591,1,Very Low,Très faible,2.105,1,Very Low,Très faible,2.133,1,Very Low,Très faible,0.244,0,Little or no change,Peu ou pas de changement
401083,1.696,1,Very Low,Très faible,1.66,1,Very Low,Très faible,1.742,1,Very Low,Très faible,1.836,1,Very Low,Très faible,1.941,1,Very Low,Très faible,1.806,1,Very Low,Très faible,1.683,1,Very Low,Très faible,1.878,1,Very Low,Très faible,1.699,1,Very Low,Très faible,0.00300000000000011,0,Little or no change,Peu ou pas de changement
401086,1.886,1,Very Low,Très faible,1.795,1,Very Low,Très faible,1.87,1,Very Low,Très faible,1.847,1,Very Low,Très faible,2.059,1,Very Low,Très faible,1.962,1,Very Low,Très faible,1.655,1,Very Low,Très faible,1.931,1,Very Low,Très faible,1.474,1,Very Low,Très faible,-0.412,0,Little or no change,Peu ou pas de changement
401087,0.855,1,Very Low,Très faible,0.752,1,Very Low,Très faible,0.828,1,Very Low,Très faible,0.801,1,Very Low,Très faible,0.873,1,Very Low,Très faible,0.841,1,Very Low,Très faible,0.671,1,Very Low,Très faible,0.945,1,Very Low,Très faible,0.947,1,Very Low,Très faible,0.092,0,Little or no change,Peu ou pas de changement
401090,15.627,3,Moderate,Moyen,15.388,3,Moderate,Moyen,14.397,3,Moderate,Moyen,14.217,3,Moderate,Moyen,15.846,3,Moderate,Moyen,15.1,3,Moderate,Moyen,12.739,3,Moderate,Moyen,14.863,3,Moderate,Moyen,,0,Not Assessed,Elément non évalué,,,Not Assessed,Elément non évalué
401094,0.931,1,Very Low,Très faible,0.844,1,Very Low,Très faible,0.868,1,Very Low,Très faible,0.882,1,Very Low,Très faible,0.968,1,Very Low,Très faible,0.882,1,Very Low,Très faible,0.748,1,Very Low,Très faible,1.257,1,Very Low,Très faible,0.807,1,Very Low,Très faible,-0.124,0,Little or no change,Peu ou pas de changement
401095,2.093,1,Very Low,Très faible,2.306,1,Very Low,Très faible,2.384,1,Very Low,Très faible,2.716,1,Very Low,Très faible,3.149,1,Very Low,Très faible,2.23,1,Very Low,Très faible,2.311,1,Very Low,Très faible,2.856,1,Very Low,Très faible,1.669,1,Very Low,Très faible,-0.424,0,Little or no change,Peu ou pas de changement
401096,0.77,1,Very Low,Très faible,0.756,1,Very Low,Très faible,0.757,1,Very Low,Très faible,0.84,1,Very Low,Très faible,0.897,1,Very Low,Très faible,0.826,1,Very Low,Très faible,0.659,1,Very Low,Très faible,0.719,1,Very Low,Très faible,0.644,1,Very Low,Très faible,-0.126,0,Little or no change,Peu ou pas de changement
401097,0.754,1,Very Low,Très faible,0.781,1,Very Low,Très faible,0.889,1,Very Low,Très faible,0.839,1,Very Low,Très faible,0.93,1,Very Low,Très faible,0.858,1,Very Low,Très faible,0.716,1,Very Low,Très faible,0.792,1,Very Low,Très faible,0.765,1,Very Low,Très faible,0.011,0,Little or no change,Peu ou pas de changement
401098,0.693,1,Very Low,Très faible,0.667,1,Very Low,Très faible,0.702,1,Very Low,Très faible,0.809,1,Very Low,Très faible,0.883,1,Very Low,Très faible,0.799,1,Very Low,Très faible,0.567,1,Very Low,Très faible,0.743,1,Very Low,Très faible,0.93,1,Very Low,Très faible,0.237,0,Little or no change,Peu ou pas de changement
