SOIL_LANDSCAPE_ID,ERI_TILL_1981_VAL,ERI_TILL_1981_CLASS,ERI_TILL_1981_CLASS_EN,ERI_TILL_1981_CLASS_FR,ERI_TILL_1986_VAL,ERI_TILL_1986_CLASS,ERI_TILL_1986_CLASS_EN,ERI_TILL_1986_CLASS_FR,ERI_TILL_1991_VAL,ERI_TILL_1991_CLASS,ERI_TILL_1991_CLASS_EN,ERI_TILL_1991_CLASS_FR,ERI_TILL_1996_VAL,ERI_TILL_1996_CLASS,ERI_TILL_1996_CLASS_EN,ERI_TILL_1996_CLASS_FR,ERI_TILL_2001_VAL,ERI_TILL_2001_CLASS,ERI_TILL_2001_CLASS_EN,ERI_TILL_2001_CLASS_FR,ERI_TILL_2006_VAL,ERI_TILL_2006_CLASS,ERI_TILL_2006_CLASS_EN,ERI_TILL_2006_CLASS_FR,ERI_TILL_2011_VAL,ERI_TILL_2011_CLASS,ERI_TILL_2011_CLASS_EN,ERI_TILL_2011_CLASS_FR,ERI_TILL_2016_VAL,ERI_TILL_2016_CLASS,ERI_TILL_2016_CLASS_EN,ERI_TILL_2016_CLASS_FR,ERI_TILL_2021_VAL,ERI_TILL_2021_CLASS,ERI_TILL_2021_CLASS_EN,ERI_TILL_2021_CLASS_FR,ERI_TILL_81_21_CHG_VAL,ERI_TILL_81_21_CHG_CLASS,ERI_TILL_81_21_CHG_CLASS_EN,ERI_TILL_81_21_CHG_CLASS_FR
483024,3.701,1,Very Low,Très faible,3.509,1,Very Low,Très faible,3.184,1,Very Low,Très faible,3.606,1,Very Low,Très faible,2.657,1,Very Low,Très faible,3.078,1,Very Low,Très faible,3.404,1,Very Low,Très faible,2.84,1,Very Low,Très faible,2.236,1,Very Low,Très faible,-1.465,-1,Decrease,Diminuation
483025,3.412,1,Very Low,Très faible,3.268,1,Very Low,Très faible,3.477,1,Very Low,Très faible,3.115,1,Very Low,Très faible,2.596,1,Very Low,Très faible,3.075,1,Very Low,Très faible,2.893,1,Very Low,Très faible,2.659,1,Very Low,Très faible,1.826,1,Very Low,Très faible,-1.586,-1,Decrease,Diminuation
483026,6.413,2,Low,Faible,5.106,1,Very Low,Très faible,5.264,1,Very Low,Très faible,5.411,1,Very Low,Très faible,4.517,1,Very Low,Très faible,5.416,1,Very Low,Très faible,5.088,1,Very Low,Très faible,3.473,1,Very Low,Très faible,4.045,1,Very Low,Très faible,-2.368,-1,Decrease,Diminuation
483030,0.864,1,Very Low,Très faible,0.814,1,Very Low,Très faible,0.765,1,Very Low,Très faible,0.765,1,Very Low,Très faible,0.84,1,Very Low,Très faible,0.68,1,Very Low,Très faible,0.609,1,Very Low,Très faible,0.643,1,Very Low,Très faible,0.554,1,Very Low,Très faible,-0.31,0,Little or no change,Peu ou pas de changement
483031,2.407,1,Very Low,Très faible,2.263,1,Very Low,Très faible,2.286,1,Very Low,Très faible,2.258,1,Very Low,Très faible,2.452,1,Very Low,Très faible,2.263,1,Very Low,Très faible,1.946,1,Very Low,Très faible,2.051,1,Very Low,Très faible,1.78,1,Very Low,Très faible,-0.627,0,Little or no change,Peu ou pas de changement
483032,8.576,2,Low,Faible,7.824,2,Low,Faible,7.586,2,Low,Faible,7.274,2,Low,Faible,8.073,2,Low,Faible,7.202,2,Low,Faible,6.279,2,Low,Faible,6.609,2,Low,Faible,5.945,1,Very Low,Très faible,-2.631,-1,Decrease,Diminuation
483033,4.646,1,Very Low,Très faible,3.844,1,Very Low,Très faible,3.742,1,Very Low,Très faible,3.554,1,Very Low,Très faible,3.738,1,Very Low,Très faible,3.644,1,Very Low,Très faible,3.208,1,Very Low,Très faible,3.319,1,Very Low,Très faible,2.113,1,Very Low,Très faible,-2.533,-1,Decrease,Diminuation
483034,6.773,2,Low,Faible,6.317,2,Low,Faible,6.308,2,Low,Faible,6.197,2,Low,Faible,6.545,2,Low,Faible,6.189,2,Low,Faible,5.25,1,Very Low,Très faible,5.437,1,Very Low,Très faible,5.494,1,Very Low,Très faible,-1.279,-1,Decrease,Diminuation
483035,2.321,1,Very Low,Très faible,2.138,1,Very Low,Très faible,2.086,1,Very Low,Très faible,2.059,1,Very Low,Très faible,2.307,1,Very Low,Très faible,2.246,1,Very Low,Très faible,1.785,1,Very Low,Très faible,1.989,1,Very Low,Très faible,1.732,1,Very Low,Très faible,-0.589,0,Little or no change,Peu ou pas de changement
483036,8.881,2,Low,Faible,8.519,2,Low,Faible,8.543,2,Low,Faible,8.492,2,Low,Faible,8.986,2,Low,Faible,8.035,2,Low,Faible,7.366,2,Low,Faible,7.172,2,Low,Faible,5.842,1,Very Low,Très faible,-3.039,-1,Decrease,Diminuation
