,MSE,RMSE,MAE,R2 Score,Precision,Recall,F1 Score,Accuracy
Target 1,0.14838413825416408,0.38520661761470826,0.15717256362790186,0.8133486074900571,0.8216997315994942,0.835076923076923,0.8226989210225838,0.835076923076923
Target 2,0.028236433632003163,0.16803700078257516,0.11109134819483629,0.9038040202920186,0.9938621775001193,0.9944615384615385,0.993850740563784,0.9944615384615385
Target 3,0.1394120410800769,0.37337921886478487,0.11313760699847064,0.8700861452456171,0.9334329389504686,0.936923076923077,0.9338058987096486,0.936923076923077
Target 4,0.12018565247087876,0.346678024211052,0.12982898725114617,0.792003787917782,0.8800458965419214,0.8926153846153846,0.8811654453297545,0.8926153846153846
